SEMESTER,SUBJECT,CATALOGNUMBER,LOCATION,ENROLMENTCAPACITY,ENROLMENTTOTAL,INSTRUCTORS,COMPONENTCODE
1147,CMPT,250,BURNABY,130,129,Anthony Dixon,LEC
1147,CMPT,250,BURNABY,26,26,Anthony Dixon,LAB
1147,CMPT,250,BURNABY,26,26,Anthony Dixon,LAB
1147,CMPT,250,BURNABY,26,25,Anthony Dixon,LAB
1147,CMPT,250,BURNABY,26,26,Anthony Dixon,LAB
1147,CMPT,250,BURNABY,26,26,Anthony Dixon,LAB
1147,CMPT,250,SURREY,82,81,Brian Fraser,LEC
1147,CMPT,250,SURREY,24,24,. Faculty,LAB
1147,CMPT,250,SURREY,24,24,Brian Fraser,LAB
1147,CMPT,250,SURREY,24,23,Brian Fraser,LAB
1147,CMPT,250,SURREY,10,10,Brian Fraser,LAB